Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Activity_Jumping,Activity_Walking,Prediction,Activity
374.25,0.122697164285183,-1.6290038619728247,0.9096937053181078,10.965,1,0,1,Jumping
374.26,0.1346511847955712,-1.739823856175328,0.8976674751454298,12.038,1,0,1,Jumping
374.27,0.13096324229768547,-1.8274608171078823,0.8848476803860748,12.933,1,0,1,Jumping
374.28,0.11862771049441254,-1.8700055045373492,0.8716376798354805,13.376,1,0,1,Jumping
374.29,0.10489330395056223,-1.8827434349054533,0.8588266537455918,13.43,1,0,1,Jumping
374.3,0.08721661404690306,-1.8573949534729264,0.8472169353725509,13.085,1,0,1,Jumping
374.31,0.06915841285035917,-1.8082265422520456,0.8371220046497684,12.457,1,0,1,Jumping
374.32,0.058221755787663566,-1.7525617865434318,0.8288443806738238,11.72,1,0,1,Jumping
374.33,0.05605985846131676,-1.6721854459206964,0.8228707246000823,10.8,1,0,1,Jumping
374.34,0.05389796113496997,-1.5805997265740301,0.8198828004795277,9.844,1,0,1,Jumping
374.35,0.03380503304304084,-1.4654488360463716,0.8201546292329751,8.883,1,0,1,Jumping
374.36,-0.005617800555047958,-1.288009466018685,0.8238593920823784,7.704,1,0,1,Jumping
374.37,-0.05038179225352297,-1.0542684437639795,0.8310146263666699,6.553,1,0,1,Jumping
374.38,-0.0912035005921891,-0.7809124580644712,0.8418044741446358,6.169,1,0,1,Jumping
374.39,-0.12757424384720006,-0.45533095785573713,0.855707199583047,6.709,1,0,1,Jumping
374.4,-0.14830302409393706,-0.0775239431377773,0.8723676715685288,8.266,1,0,1,Jumping
374.409,-0.14741283107720604,0.36167989595444294,0.8917573919253168,10.802,1,0,1,Jumping
374.419,-0.11956250669662072,0.8620258008135616,0.913442311514841,13.917,1,0,1,Jumping
374.429,-0.07276378810276048,1.4314112882678032,0.9380428137018249,18.069,1,0,1,Jumping
374.439,-0.03232359105697908,2.0563341521269773,0.9661968191899231,23.107,1,0,1,Jumping
374.449,-0.011594810810242065,2.648647914243806,0.9977991039455423,27.974,1,0,1,Jumping
374.459,-0.023930342613515006,3.0903993394096467,1.031643975917102,31.577,1,0,1,Jumping
374.469,-0.02698243295659285,3.397892978495673,1.0670080198736538,34.149,1,0,1,Jumping
374.479,-0.0288899894210165,3.755828821839391,1.1055068631643157,37.372,1,0,1,Jumping
374.489,-0.08878726240391915,4.063449840229098,1.1473969893709706,40.342,1,0,1,Jumping
374.499,-0.20591122931953132,4.104593355318074,1.1924328757485676,41.537,1,0,1,Jumping
374.509,-0.30395963159090705,3.903461434805714,1.2417018373108972,41.351,1,0,1,Jumping
374.519,-0.34719757811784313,3.63303517309087,1.2870533957892722,40.724,1,0,1,Jumping
374.529,-0.3843313439586235,3.2715327092440836,1.3309931984836139,38.968,1,0,1,Jumping
374.539,-0.4308757216905606,2.879459212513847,1.3710090215919017,36.338,1,0,1,Jumping
374.549,-0.46673778322172527,2.54980157458732,1.4055926539659755,33.582,1,0,1,Jumping
374.559,-0.4494426046109508,2.259249382890871,1.4324664337120312,30.531,1,0,1,Jumping
374.569,-0.39132571766151025,1.9779958803631388,1.4482741525919405,26.917,1,0,1,Jumping
374.579,-0.31642233382514157,1.688972240310863,1.451573364478539,22.865,1,0,1,Jumping
374.589,-0.2333800424072319,1.3602062575101026,1.442101009287846,18.61,1,0,1,Jumping
374.599,-0.15885816986374796,0.9877491735467465,1.4216217817499026,14.256,1,0,1,Jumping
374.609,-0.09972391946661475,0.5926185735281656,1.3916899285275646,9.921,1,0,1,Jumping
374.619,-0.05724899552544812,0.17761680213534256,1.3528688366340254,5.818,1,0,1,Jumping
374.629,-0.029271500713901232,-0.24056945184950645,1.3063225469409017,2.142,1,0,1,Jumping
374.639,-0.011976322103126796,-0.640667844711648,1.253289634010273,2.395,1,0,1,Jumping
374.649,0.007480753833994448,-1.0021703085584348,1.1963349336609568,5.412,1,0,1,Jumping
374.658,0.03762014597188813,-1.3003652584757457,1.1369228136937817,8.095,1,0,1,Jumping
374.668,0.06992143543612864,-1.5278646948500803,1.0764825672317133,10.234,1,0,1,Jumping
374.678,0.09243060171632772,-1.6882352381845076,1.0168797287036517,11.867,1,0,1,Jumping
374.688,0.09446532861171295,-1.8070801285189162,0.9600346367226611,13.079,1,0,1,Jumping
374.698,0.08301998982517104,-1.8908957103410398,0.9077558293661122,13.974,1,0,1,Jumping
374.708,0.07551693439843801,-1.935351087325722,0.8614090269033414,14.457,1,0,1,Jumping
374.718,0.07373654836497594,-1.9405736387766443,0.8222569177374591,14.415,1,0,1,Jumping
374.728,0.051354552515738436,-1.9226131569576181,0.7899136804119592,14.055,1,0,1,Jumping
374.738,0.026683488909192532,-1.8835077107275395,0.7646094925003252,13.393,1,0,1,Jumping
374.748,0.027828022787846723,-1.8216013691385546,0.7464736918771816,12.502,1,0,1,Jumping
374.758,0.02998992011419353,-1.733964408206,0.7356860362665821,11.439,1,0,1,Jumping
374.768,0.02299554641130681,-1.634353792727428,0.7319703125803463,10.338,1,0,1,Jumping
374.778,0.00620904952437868,-1.49716628266295,0.7349845427092988,9.113,1,0,1,Jumping
374.788,-0.01884352537505194,-1.315268637006427,0.74448320390839,7.817,1,0,1,Jumping
374.798,-0.045167804584098324,-1.0975774070155326,0.759839336310798,6.68,1,0,1,Jumping
374.808,-0.08039401396045508,-0.8364498344694039,0.7807613816567768,6.016,1,0,1,Jumping
374.818,-0.11205945126988769,-0.5218229543772391,0.8068130986403907,6.267,1,0,1,Jumping
374.828,-0.12108855186815963,-0.1631228352114351,0.8379725655879747,7.88,1,0,1,Jumping
374.838,-0.11778212066315864,0.24512783308629282,0.8746102587844691,10.884,1,0,1,Jumping
374.848,-0.1163832459225813,0.7150300843656433,0.9153122302784746,14.369,1,0,1,Jumping
374.858,-0.13456861755008678,1.2630158488014704,0.958686453792257,18.381,1,0,1,Jumping
374.868,-0.1453781041818208,1.833802508596203,1.0057106359712793,23.178,1,0,1,Jumping
374.878,-0.14296186599355085,2.381151376513625,1.055369803324848,27.784,1,0,1,Jumping
374.888,-0.1377478783241262,2.9073552800199947,1.106372769274088,32.126,1,0,1,Jumping
374.898,-0.15974836288047897,3.353564980814672,1.1563782990715648,35.533,1,0,1,Jumping
374.907,-0.21583052293453434,3.7297160645847782,1.2044634902559785,38.449,1,0,1,Jumping
374.917,-0.2944218492687888,4.014408808311899,1.2512903773720154,40.935,1,0,1,Jumping
374.927,-0.4073491919626689,4.086378114891685,1.296839230913376,42.047,1,0,1,Jumping
374.937,-0.5028541856148131,3.9369621916738278,1.339902166661114,41.639,1,0,1,Jumping
374.947,-0.5198950233636643,3.6306149663209304,1.3790981191743263,39.929,1,0,1,Jumping
374.957,-0.49140884682827113,3.2274594701704444,1.413199474727768,37.286,1,0,1,Jumping
374.967,-0.46101511382845434,2.7681297010966195,1.4412767543580378,34.033,1,0,1,Jumping
374.977,-0.4485524115942198,2.3437018612314,1.4625626994868572,30.58,1,0,1,Jumping
374.987,-0.4195575533349803,1.9680602946760177,1.475827504221614,27.177,1,0,1,Jumping
374.997,-0.3615678368165013,1.6441347254151373,1.4811413179180364,23.744,1,0,1,Jumping
375.007,-0.29340448582109613,1.370396601804586,1.4774760140812304,20.175,1,0,1,Jumping
375.017,-0.22664000956626834,1.0928370990836034,1.4654322465696203,16.445,1,0,1,Jumping
375.027,-0.17182955382182877,0.7712043572889814,1.447842295620738,12.693,1,0,1,Jumping
375.037,-0.129100289018739,0.4233314789360655,1.4250854061889893,8.894,1,0,1,Jumping
375.047,-0.09374690921142063,0.07596811779787394,1.3974531365341212,5.466,1,0,1,Jumping
375.057,-0.05864787026602546,-0.2759808982728351,1.365208546740114,2.479,1,0,1,Jumping
375.067,-0.019097866236975094,-0.6210514319447681,1.3273037808057764,2.365,1,0,1,Jumping
375.077,0.01905326305149793,-0.939627070451045,1.2832565619104754,4.772,1,0,1,Jumping
