"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.790111875E0,3.517684937E-1,6.411467285E0,7.760761414E0,1.007273903E1
2.800070875E0,3.219804382E-1,6.470444641E0,7.704328766E0,1.006613168E1
2.810030875E0,2.755769348E-1,6.530918884E0,7.639962616E0,1.005474380E1
2.819989875E0,2.335144043E-1,6.586453400E0,7.588170319E0,1.005068287E1
2.829948875E0,2.344125366E-1,6.643933868E0,7.585176544E0,1.008621384E1
2.839907875E0,2.555186462E-1,6.691385193E0,7.534282379E0,1.007994725E1
2.849866875E0,2.883004761E-1,6.752458191E0,7.459438019E0,1.006588418E1
2.859826875E0,2.612068176E-1,6.788233795E0,7.446265411E0,1.007944520E1
2.869785875E0,2.676434326E-1,6.784790955E0,7.426805878E0,1.006292536E1
2.879744875E0,2.908451843E-1,6.772815857E0,7.437583466E0,1.006346229E1
2.889703875E0,2.408491516E-1,6.756050720E0,7.416776733E0,1.003547741E1
2.899663875E0,2.192939758E-1,6.729555817E0,7.450606384E0,1.004223814E1
2.909622875E0,2.522254944E-1,6.708749084E0,7.547155609E0,1.010101429E1
2.919581875E0,3.372486877E-1,6.666686554E0,7.618407440E0,1.012909563E1
2.929540875E0,4.288581848E-1,6.624773712E0,7.674840088E0,1.014764586E1
2.939500875E0,5.090913391E-1,6.582561493E0,7.594457245E0,1.006305474E1
2.949459875E0,5.204676819E-1,6.568341064E0,7.424111481E0,9.926299523E0
2.959418875E0,4.628375244E-1,6.575526123E0,7.243886261E0,9.794164106E0
2.969377875E0,4.607418823E-1,6.592890015E0,7.118447113E0,9.713432510E0
2.979336875E0,4.453239441E-1,6.635401611E0,6.963369598E0,9.628882808E0
2.989296875E0,3.507206726E-1,6.712191925E0,6.833739166E0,9.585223859E0
2.999255875E0,2.983296204E-1,6.765331421E0,6.814279633E0,9.606930660E0
3.009214875E0,3.161425781E-1,6.795418854E0,6.852300568E0,9.655655679E0
3.019173875E0,3.553610229E-1,6.835535431E0,6.868466949E0,9.696734725E0
3.029133875E0,3.857478333E-1,6.882238312E0,6.808292084E0,9.688490423E0
3.039092875E0,4.224215698E-1,6.920408936E0,6.689439240E0,9.634266820E0
3.049051875E0,4.460723877E-1,6.941215668E0,6.623127136E0,9.604440045E0
3.059010875E0,3.638932800E-1,6.975793762E0,6.619833984E0,9.623737263E0
3.068970875E0,2.930905151E-1,7.009324036E0,6.592141571E0,9.626674191E0
3.078929875E0,2.667453003E-1,7.013814697E0,6.635700989E0,9.659051572E0
3.088888875E0,2.941383362E-1,6.998696136E0,6.763535156E0,9.737231269E0
3.098847875E0,3.137475586E-1,6.933880920E0,6.906338196E0,9.791560112E0
3.108806875E0,3.300636292E-1,6.832841034E0,7.024891663E0,9.805394508E0
3.118766875E0,3.381468201E-1,6.748715973E0,7.089706879E0,9.794051980E0
3.128725875E0,3.031196594E-1,6.727759552E0,7.124284973E0,9.803574169E0
3.138684875E0,2.553689575E-1,6.726262665E0,7.183262329E0,9.844139395E0
3.148643875E0,2.022294617E-1,6.724167023E0,7.273824005E0,9.907766376E0
3.158603875E0,1.432521057E-1,6.743027802E0,7.331454163E0,9.961885627E0
3.168562875E0,9.669891357E-2,6.765481110E0,7.399861908E0,1.002691586E1
3.178521875E0,1.043330383E-1,6.763684845E0,7.483986969E0,1.008803147E1
3.188480875E0,7.259902954E-2,6.776707764E0,7.520061951E0,1.012325889E1
3.198440875E0,5.897735596E-2,6.804699554E0,7.505093079E0,1.013083592E1
3.208399875E0,7.828720093E-2,6.826853485E0,7.472610626E0,1.012185591E1
3.218358875E0,1.297801208E-1,6.841822357E0,7.461982727E0,1.012465122E1
3.228317875E0,2.131567383E-1,6.836283875E0,7.437733154E0,1.010445879E1
3.238276875E0,3.233276367E-1,6.803801422E0,7.356152802E0,1.002542960E1
3.248236875E0,3.854484558E-1,6.781198425E0,7.239694977E0,9.927054243E0
